,review,date,score,helpful,number_of_reviews,number_of_ratings,average_user_score
0,"A fun reinvention of the PokÃ©mon formula, hopefully the next version keeps this change while giving it a better look",29-Jan-22,10,0.790322581,2,2,0
1,"A fun, challenging (at times), Pokemon game with an addictive gameplay loop and an interesting system of fighting and catching Pokemon. It's a huge step in the right direction! The graphics, performance, and multiplayer options need work, but those are the only major flaws. The story, pacing, battles, catching mechanics, exploration, and general gameplay are such an improvement over Sword/Shield and Sun/Moon.There are major series changes that make big differences in quality of life, such as no limit to the number of moves a Pokemon can learn (they just have 4 memorized pre-battles) and not having to trade to evolve certain Pokemon anymore (using rare items on them instead). Exploration, crafting, gathering, and finding rare (and shiny) Pokemon have never been this fun. Gone is much of the tedium and boredom found in previous games.If you care only about graphics or online competitive battles, you will find reasons to not like this game. But if you're into the collecting aspect of Pokemon, you will love this. It's worth noting that the graphics and performance issues are much less noticeable when playing handheld.",30-Jan-22,10,0.722222222,60,111,5.8
2,El juego mÃ¡s infravalorado de la saga y posiblemente el mejor de todos. Nintendo y GF lo han vuelto a hacer aÃ±os despuÃ©s. BRAVO.,29-Jan-22,10,0.774193548,8,12,7.2
3,"Best pokemon game of all time! New pokemon, new stuff to do, new ways to catch pokemon and better gameplay",30-Jan-22,10,0.8,1,4,5
4,"One outstanding experience, that is certain. I absolutely love the direction GameFreak is going for with this whole new installment for the Pokemon series, and it is very refreshing, while being very needed at the same time. Catching Pokemon in this game is more fun than ever, and I'm a fan since the first era with the FireRed/LeafGreen versions. It's way more than a nostalgia trip : it is a brand new experience and I sincerely do hope that we will see a bigger sequel to it because the game really deserves one with further gameplay enhancements, maybe a bigger map with more activities. Cheers to all the haters! ;)",03-Feb-22,10,0.5,1,14,9
5,"Incredible game that moves the Pokemon series forward in a fresh new direction. The gameplay loop is fun, and while the graphics aren't great, they are more than fine. Gameplay should always take precedent over graphics, and Legends: Arceus is a joy to play!",29-Jan-22,10,0.724637681,5,6,8
6,"Im so addicted! New mechanics and ideas are really fantastic! Can?t stop playing it! Over 40 hrs and still can?t put down the console! The world is really beautifull, exploration is truly amazing. The only grip is the performance and graphics but the game has it own graphical moments. Must play for sure!",05-Feb-22,10,0.6,2,364,6.6
7,"This is such a spectacular evolution for the PokÃ©mon franchise. From the first few moments, you know you?re stepping into a new, fresh take on the series, and the game continues to surprise time and time again even into 40+ hours of gameplay.",30-Jan-22,10,0.75,2,10,9.9
8,"A delight to play this game, perfect evolution of the saga with a magnificent exploration, completing the pokedex is very satisfying unlike in traditional pokemon that was more of a nuisance than anything else, graphically it is not bad at all but that is the least important, it's fun, it's addictive. Enjoy!",20-Feb-22,10,0,9,17,7.2
9,"This is the best PokÃ©mon game I've ever played. To me, it feels like what I thought I was playing when I was a child 20 years ago, but without having to imagine so much.",02-Feb-22,10,0.6,2,6,6.8
10,"I'll get this out of the way, the graphics is the only thing imho that needs polish, but they are still servicable. I been playing the game for over 10 hours and honestly most fun I had in years with a Pokemon game. This game is testing grounds for future Pokemon games in this style. So let's put the graphics aside for a moment and look at the bigger picture here. Aside from Graphics do you want more. Pokemon games like this? I sure do, that's why despite the graphics needing more, that this game deserves a 10.",29-Jan-22,10,0.763888889,11,143,10
11,Excellent step in the right direction for Pokemon. Do not listen to the bad reviews. They are weak and shall be forgotten!,30-Jan-22,10,0.794117647,4,8,9.4
12,"Finally this is the change in the saga what the true consumers demanded, hope the next generation with 1000 pokÃ©mon will be full open world and the best gen of all times.",31-Jan-22,10,0.827586207,23,29,7.1
13,"A game with terrible graphics and technical issues but extremely fun and addictive gameplay. This is the right direction for PokÃ©mon! It?s so much more enjoyable than the boring exploration and battles of Sw/Sh and S/M. Exploring, crafting, discovering new PokÃ©mon. It?s a blast. Also the 0/10 reviews are from people who obviously didn?t even bother playing the game and are just hating on it because it looked bad in the trailers and they don?t like to be wrong.",29-Jan-22,10,0.8,2,6,10
14,"Overall, this game is a breath of fresh air. It brings new elements and life to a system that has otherwise overstayed its welcome for the last few decades. I genuinely hope they keep this fusion of RPG/turn based system for Pokemon games to follow as it allowed the player actual choice and actual exploration that felt rewarding to me. Whether that be in the form of finding rare items or pokemon spawns, I never felt it was pointless to actually touch every corner of the admittedly large segmented areas.As for player choice, there were many times I had a marker on the map which indicated where I needed to go to progress the story which I just ignored. You can explore, catch, and train pokemon at your own pace which as most Pokemon fans know, isn't the norm. You can find rare items, pokemon, alpha pokemon, and everything else freely from your second time stepping into the fields which was really nice. Ontop of that, there are multiple ways to completed your pokedex. You can battle, you can capture, you can observe, or you can raise them yourself and learn things about them. You'll see a lot of people on here saying it felt tedious, but they had options. They just didn't explore them or take the time to read them.Of course there is a graphical downside, but I honestly never felt like it hindered my experience throughout my play through. It is an area they need to work on though going forward.Without going too much into it since I want this to be a spoiler free review, this game is amazing. I can't understand people who are trying to say this is the worse Pokemon game to ever exist. It is far from the worse and easily ranks as one of the best imo. I really hope they intend to keep this formula, because I don't know if I can revert to the old system in Gen9 after experiencing this. This is a fun game and if you actually read into the mechanics and into the side quest, they give you a fun idea of the NPCs take on the world, your character, and many other aspects.A lot of fun Easter Eggs are in the game too, so keep your eyes peeled for those!",29-Jan-22,10,0.779661017,11,12,9.4
15,Best pokemon everhistory 10/10gameplay 10/10OST 10/10art/graphycs 7/10+1 for funny,30-Jan-22,10,0.833333333,11,12,2.5
16,"The best pokemon game so far. The world feels immersive, the gameplay is fun and escapes the old formula which was getting stale after every game being near enough a copy paste of the last.",30-Jan-22,10,0.8,1,3,0
